ahl,atc,mean,cv,variant,strain,date,file
0.000583361,0,51.39052838,1.328367937,347c,mg1655,170724,52
0.000645961,0,48.0303789,1.338474595,347c,mg1655,170724,53
0.000715279,0,53.37870247,1.285823862,347c,mg1655,170724,54
0.000792036,0,54.87893839,1.307487767,347c,mg1655,170724,55
0.000877029,0,58.05060375,1.281890909,347c,mg1655,170724,56
0.000971143,0,56.38687691,1.286437981,347c,mg1655,170724,57
0.001075356,0,71.04636928,1.293150662,347c,mg1655,170724,58
0.001190752,0,74.14874038,1.3540214,347c,mg1655,170724,59
0.001318531,0,118.9811511,1.634162676,347c,mg1655,170724,60
0.001460023,0,161.271041,2.133688016,347c,mg1655,170724,61
0.001616697,0,435.3873313,2.362395901,347c,mg1655,170724,62
0.001790184,0,995.6580722,1.762052776,347c,mg1655,170724,63
0.001982289,0,5009.503279,0.775876998,347c,mg1655,170724,64
0.002195008,0,5090.47668,0.765782036,347c,mg1655,170724,65
0.002430553,0,9065.816172,0.533826456,347c,mg1655,170724,66
0.002691375,0,10403.93695,0.530068346,347c,mg1655,170724,67
0.002980186,0,11437.83816,0.508860217,347c,mg1655,170724,68
0.003299989,0,12889.57571,0.488172925,347c,mg1655,170724,69
0.00365411,0,15216.80617,0.486588763,347c,mg1655,170724,70
0.004046231,0,15417.67269,0.494972674,347c,mg1655,170724,71
0.004480431,0,16291.46331,0.482557067,347c,mg1655,170724,72
0.004961225,0,16747.31829,0.491786575,347c,mg1655,170724,73
0.010536549,0,19231.93593,0.482662902,347c,mg1655,170724,74
0.052682743,0,18582.69661,0.490627326,347c,mg1655,170724,75
0,0,38.50457344,1.504377039,347d,mg1655,170720,76
0.000553655,0,40.11008009,1.555847121,347d,mg1655,170720,77
0.000613067,0,39.52641431,1.515838353,347d,mg1655,170720,78
0.000678856,0,43.71086151,1.423828274,347d,mg1655,170720,79
0.000751703,0,41.60803076,1.494853914,347d,mg1655,170720,80
0.000832368,0,42.77169548,1.489366543,347d,mg1655,170720,81
0.00092169,0,44.11088163,1.435327933,347d,mg1655,170720,82
0.001020596,0,46.80117938,1.493094236,347d,mg1655,170720,83
0.001130116,0,45.85934213,1.415605868,347d,mg1655,170720,84
0.001251388,0,56.44585132,1.480798416,347d,mg1655,170720,85
0.001385674,0,58.20385553,1.473961173,347d,mg1655,170720,86
0.001534371,0,70.32424242,1.633147344,347d,mg1655,170720,87
0.001699024,0,81.34245911,1.902541109,347d,mg1655,170720,88
0.001881345,0,383.0646156,2.907149168,347d,mg1655,170720,89
0.002083232,0,452.1646391,2.5485464,347d,mg1655,170720,90
0.002306783,0,2606.567163,1.436978734,347d,mg1655,170720,91
0.002554323,0,4328.353195,0.995856128,347d,mg1655,170720,92
0.002828427,0,6124.357312,0.782331412,347d,mg1655,170720,93
0.003131945,0,8276.460763,0.662784606,347d,mg1655,170720,94
0.003468033,0,11986.70009,0.549747416,347d,mg1655,170720,95
0.003840187,0,12206.41711,0.549209699,347d,mg1655,170720,96
0.004252276,0,13167.82822,0.527987744,347d,mg1655,170720,97
0.004708587,0,14150.83027,0.521508063,347d,mg1655,170720,98
0.01,0,17401.54579,0.49693243,347d,mg1655,170720,99
0.05,0,17891.29183,0.502674664,347d,mg1655,170720,100
0,0,42.98677138,1.375818783,347d,mg1655,170724,76
0.000583361,0,43.55211447,1.416080923,347d,mg1655,170724,77
0.000645961,0,45.69848754,1.484143362,347d,mg1655,170724,78
0.000715279,0,47.36968421,1.427999141,347d,mg1655,170724,79
0.000792036,0,46.71511752,1.445327919,347d,mg1655,170724,80
0.000877029,0,45.28504585,1.517158775,347d,mg1655,170724,81
0.000971143,0,49.35038937,1.407273336,347d,mg1655,170724,82
0.001075356,0,49.32159783,1.40472309,347d,mg1655,170724,83
0.001190752,0,53.06816711,1.422695574,347d,mg1655,170724,84
0.001318531,0,60.80796324,1.445039555,347d,mg1655,170724,85
0.001460023,0,64.87468894,1.507386595,347d,mg1655,170724,86
0.001616697,0,79.88557498,1.422093186,347d,mg1655,170724,87
0.001790184,0,104.0355331,1.769314747,347d,mg1655,170724,88
0.001982289,0,223.2072724,2.797650959,347d,mg1655,170724,89
0.002195008,0,412.1433379,2.547609504,347d,mg1655,170724,90
0.002430553,0,2271.918982,1.47518243,347d,mg1655,170724,91
0.002691375,0,4185.38978,1.019769898,347d,mg1655,170724,92
0.002980186,0,6605.453873,0.785649314,347d,mg1655,170724,93
0.003299989,0,10179.87907,0.583577303,347d,mg1655,170724,94
0.00365411,0,11909.07385,0.560398461,347d,mg1655,170724,95
0.004046231,0,11988.61658,0.512378762,347d,mg1655,170724,96
0.004480431,0,12863.67997,0.498052601,347d,mg1655,170724,97
0.004961225,0,14404.06064,0.502703847,347d,mg1655,170724,98
0.010536549,0,16894.81501,0.480777426,347d,mg1655,170724,99
0.052682743,0,17542.03203,0.486617268,347d,mg1655,170724,100
0,0,32.12283976,1.698585833,347e,mg1655,170720,101
0.062996052,0,33.01215925,1.674101804,347e,mg1655,170720,102
0.079370053,0,33.75050842,1.716329631,347e,mg1655,170720,103
0.1,0,34.356381,1.635126982,347e,mg1655,170720,104
0.125992105,0,35.55601753,1.545160551,347e,mg1655,170720,105
0.158740105,0,36.73504271,1.699369897,347e,mg1655,170720,106
0.2,0,36.92858508,1.739264763,347e,mg1655,170720,107
0.25198421,0,320.802025,6.686308965,347e,mg1655,170720,108
0.31748021,0,950.9843742,4.627589341,347e,mg1655,170720,109
0.4,0,1592.553184,3.341599476,347e,mg1655,170720,110
0.50396842,0,2363.447891,2.660181857,347e,mg1655,170720,111
0.634960421,0,3085.556992,2.337487064,347e,mg1655,170720,112
0.8,0,3310.264026,2.288151954,347e,mg1655,170720,113
1.00793684,0,4827.309026,1.876411191,347e,mg1655,170720,114
1.269920842,0,5666.883242,1.651193434,347e,mg1655,170720,115
1.6,0,6828.103751,1.493553854,347e,mg1655,170720,116
2.01587368,0,6913.883473,1.400442938,347e,mg1655,170720,117
2.539841683,0,7620.102104,1.275451762,347e,mg1655,170720,118
3.2,0,8289.551141,1.271138547,347e,mg1655,170720,119
4.03174736,0,7974.243692,1.214715421,347e,mg1655,170720,120
5.079683366,0,9545.948998,1.115115589,347e,mg1655,170720,121
6.4,0,10274.93027,1.049402342,347e,mg1655,170720,122
8.063494719,0,10774.41337,0.960136543,347e,mg1655,170720,123
10.15936673,0,11037.05071,0.969034671,347e,mg1655,170720,124
12.8,0,11294.60384,0.914650296,347e,mg1655,170720,125
0,0,35.45108533,1.571043849,347e,mg1655,170724,101
0.071183053,0,37.01380634,1.590628689,347e,mg1655,170724,102
0.089685026,0,37.27218867,1.543257869,347e,mg1655,170724,103
0.112996052,0,34.52958003,1.644299796,347e,mg1655,170724,104
0.142366105,0,40.61548374,1.546461709,347e,mg1655,170724,105
0.179370053,0,42.7821195,1.804776769,347e,mg1655,170724,106
0.225992105,0,52.47884875,2.805027788,347e,mg1655,170724,107
0.28473221,0,1528.350254,3.525838296,347e,mg1655,170724,108
0.358740105,0,2601.636147,2.808607326,347e,mg1655,170724,109
0.45198421,0,3498.403415,2.310023824,347e,mg1655,170724,110
0.56946442,0,4189.116643,2.087829599,347e,mg1655,170724,111
0.71748021,0,4837.64518,1.84528298,347e,mg1655,170724,112
0.90396842,0,5501.929675,1.723428175,347e,mg1655,170724,113
1.138928841,0,7089.313539,1.481236582,347e,mg1655,170724,114
1.434960421,0,7479.913416,1.299664257,347e,mg1655,170724,115
1.80793684,0,9270.88556,1.16367322,347e,mg1655,170724,116
2.277857681,0,10178.91391,1.078079472,347e,mg1655,170724,117
2.869920842,0,10528.20631,1.04493028,347e,mg1655,170724,118
3.61587368,0,10148.54773,1.058946047,347e,mg1655,170724,119
4.555715363,0,11455.47332,0.927792348,347e,mg1655,170724,120
5.739841683,0,12435.97352,0.890821904,347e,mg1655,170724,121
7.23174736,0,13337.32644,0.813816386,347e,mg1655,170724,122
9.111430726,0,13388.27128,0.804560069,347e,mg1655,170724,123
11.47968337,0,12501.84969,0.852814548,347e,mg1655,170724,124
14.46349472,0,13085.88894,0.795912762,347e,mg1655,170724,125
0,0,48.39801629,1.349151231,347f,mg1655,171010,26
5.84E-05,0,46.18889752,1.333536738,347f,mg1655,171010,27
7.48E-05,0,48.53159947,1.409349575,347f,mg1655,171010,28
9.59E-05,0,49.54648878,1.325549949,347f,mg1655,171010,29
0.000122794,0,49.84186362,1.265939946,347f,mg1655,171010,30
0.000157285,0,51.08276169,1.366889189,347f,mg1655,171010,31
0.000201464,0,52.50425908,1.30710161,347f,mg1655,171010,32
0.000258053,0,57.10101284,1.345462922,347f,mg1655,171010,33
0.000330536,0,63.94377118,1.227823906,347f,mg1655,171010,34
0.00042338,0,71.53305065,1.184907053,347f,mg1655,171010,35
0.000542302,0,102.9615766,1.200411528,347f,mg1655,171010,36
0.000694627,0,233.9825305,1.147917039,347f,mg1655,171010,37
0.000889738,0,1182.605227,0.761350469,347f,mg1655,171010,38
0.001139654,0,4293.732373,0.434452659,347f,mg1655,171010,39
0.001459767,0,7648.865372,0.361476763,347f,mg1655,171010,40
0.001869797,0,10100.02295,0.355555204,347f,mg1655,171010,41
0.002394998,0,12925.44665,0.370629677,347f,mg1655,171010,42
0.003067721,0,15676.76597,0.389553674,347f,mg1655,171010,43
0.003929403,0,17951.76883,0.403274359,347f,mg1655,171010,44
0.00503312,0,19694.2378,0.416482837,347f,mg1655,171010,45
0.006446856,0,20672.09442,0.408228833,347f,mg1655,171010,46
0.008257692,0,20794.94257,0.423882943,347f,mg1655,171010,47
0.010577168,0,20737.59866,0.429564464,347f,mg1655,171010,48
0.013548153,0,21082.24862,0.418418032,347f,mg1655,171010,49
0.057022167,0,19651.29311,0.451712697,347f,mg1655,171010,50
0,0,48.50169784,1.357353952,347f,mg1655,171012,26
5.12E-05,0,51.32339669,1.306863902,347f,mg1655,171012,27
6.56E-05,0,51.70720152,1.371205889,347f,mg1655,171012,28
8.41E-05,0,52.88947053,1.305417758,347f,mg1655,171012,29
0.000107672,0,49.59187201,1.352700383,347f,mg1655,171012,30
0.000137916,0,51.7930077,1.341601305,347f,mg1655,171012,31
0.000176654,0,52.84784257,1.357504298,347f,mg1655,171012,32
0.000226274,0,55.19800913,1.30610404,347f,mg1655,171012,33
