ahl,atc,mean,median,cv,variant,strain,date,file,note
0.001297511,28.73502844,2553.307475,2506.016492,0.36496538,331/347d,mg1655,170725,182,
0.001406418,28.73502844,2552.502704,2506.016492,0.359063028,331/347d,mg1655,170725,183,
0.001524467,28.73502844,2596.446389,2529.783615,0.378444446,331/347d,mg1655,170725,184,
0.001652424,28.73502844,2557.727153,2506.016492,0.366198067,331/347d,mg1655,170725,185,
0.001791121,28.73502844,2636.924816,2553.776147,0.376448414,331/347d,mg1655,170725,186,
0.00194146,28.73502844,2722.376281,2602.446007,0.416439842,331/347d,mg1655,170725,187,
0.002104417,28.73502844,2844.624631,2652.043416,0.483574772,331/347d,mg1655,170725,188,
0.002281053,28.73502844,3805.064965,3026.724839,0.750456823,331/347d,mg1655,170725,189,
0.002472514,28.73502844,4000.677098,3143.190795,0.743789045,331/347d,mg1655,170725,190,
0.002680046,28.73502844,6548.736397,5307.562301,0.756952752,331/347d,mg1655,170725,191,
0.002904998,28.73502844,8627.121124,7633.419319,0.674166559,331/347d,mg1655,170725,192,
0.00314883,28.73502844,10584.65551,9484.326324,0.584110486,331/347d,mg1655,170725,193,
0.00341313,28.73502844,12559.52229,11135.17769,0.525803154,331/347d,mg1655,170725,194,
0.003699613,28.73502844,14970.39012,13197.36616,0.501740857,331/347d,mg1655,170725,195,
0.004010142,28.73502844,16459.27757,14780.21243,0.465901582,331/347d,mg1655,170725,196,
0.004346736,28.73502844,17472.11779,15641.46333,0.463721688,331/347d,mg1655,170725,197,
0.004711582,28.73502844,18651.65212,16868.3649,0.459842817,331/347d,mg1655,170725,198,
0.005107051,28.73502844,18845.41629,17028.3449,0.452185044,331/347d,mg1655,170725,199,
0.005535715,28.73502844,19337.39764,17683.58203,0.434744188,331/347d,mg1655,170725,200,
0,0.089089872,65.82438629,198.1922624,1.142335042,331/347d,mg1655,170727,1,
8.67E-04,0.089089872,72.96802119,201.980239,1.186377576,331/347d,mg1655,170727,2,
9.40E-04,0.089089872,71.71613515,201.980239,1.142432383,331/347d,mg1655,170727,3,
1.02E-03,0.089089872,70.93044297,200.0772864,1.258751195,331/347d,mg1655,170727,4,
1.10E-03,0.089089872,74.68834544,201.980239,1.207882217,331/347d,mg1655,170727,5,
0.001197037,0.089089872,77.23237385,203.9012908,1.167025963,331/347d,mg1655,170727,6,
0.001297511,0.089089872,81.78683353,207.798382,1.197144407,331/347d,mg1655,170727,7,
0.001406418,0.089089872,91.46080804,213.7841195,1.218333547,331/347d,mg1655,170727,8,
0.001524467,0.089089872,94.41465789,215.8174391,1.314531845,331/347d,mg1655,170727,9,
0.001652424,0.089089872,114.8655059,224.1459561,1.31136029,331/347d,mg1655,170727,10,
